"rollno","name","age","grade","department"
"R00086","Student86",26,"A","Mech"
"R00087","Student87",24,"F","IT"
"R00088","Student88",20,"C","IT"
"R00089","Student89",25,"A","IT"
"R00090","Student90",29,"D","ECE"
"R00091","Student91",26,"B","Civil"
"R00092","Student92",20,"F","IT"
"R00093","Student93",30,"C","CS"
"R00094","Student94",24,"D","Civil"
"R00095","Student95",20,"F","Mech"
"R00096","Student96",24,"D","Civil"
"R00097","Student97",23,"A","CS"
"R00098","Student98",27,"F","CS"
"R00099","Student99",22,"B","CS"
"R00100","Student100",22,"B","ECE"
"R00101","Student101",25,"F","Mech"
"R00102","Student102",20,"F","ECE"
"R00103","Student103",27,"F","IT"
"R00104","Student104",19,"A","CS"
"R00105","Student105",27,"A","Civil"
"R00106","Student106",29,"F","IT"
"R00107","Student107",19,"F","Civil"
"R00108","Student108",27,"F","CS"
"R00109","Student109",23,"D","Mech"
"R00110","Student110",29,"F","CS"
"R00111","Student111",21,"B","CS"
"R00112","Student112",18,"D","IT"
"R00113","Student113",23,"F","ECE"
"R00114","Student114",20,"F","IT"
"R00115","Student115",25,"F","IT"
"R00116","Student116",20,"A","ECE"
"R00117","Student117",25,"D","Mech"
"R00118","Student118",18,"F","ECE"
"R00119","Student119",24,"A","Mech"
"R00120","Student120",28,"B","Mech"
"R00121","Student121",24,"F","IT"
"R00122","Student122",30,"A","Mech"
"R00123","Student123",24,"D","Civil"
"R00124","Student124",27,"D","IT"
"R00125","Student125",23,"C","Civil"
"R00126","Student126",24,"F","ECE"
"R00127","Student127",28,"B","CS"
"R00128","Student128",27,"C","Civil"
"R00129","Student129",22,"F","CS"
"R00130","Student130",23,"D","Mech"
"R00131","Student131",25,"A","Civil"
"R00132","Student132",22,"B","IT"
"R00133","Student133",24,"B","IT"
"R00134","Student134",28,"B","CS"
"R00135","Student135",21,"B","IT"
"R00136","Student136",29,"D","ECE"
"R00137","Student137",29,"D","IT"
"R00138","Student138",30,"D","IT"
"R00139","Student139",20,"C","IT"
"R00140","Student140",26,"C","Civil"
"R00141","Student141",24,"C","Mech"
"R00142","Student142",23,"B","IT"
"R00143","Student143",27,"C","ECE"
"R00144","Student144",26,"B","Civil"
"R00145","Student145",24,"C","ECE"
"R00146","Student146",19,"C","CS"
"R00147","Student147",30,"B","IT"
"R00148","Student148",20,"B","IT"
"R00149","Student149",25,"B","IT"
"R00150","Student150",21,"A","CS"
"R00151","Student151",24,"C","IT"
"R00152","Student152",21,"D","IT"
"R00153","Student153",18,"A","Mech"
"R00154","Student154",25,"B","CS"
"R00155","Student155",21,"F","ECE"
"R00156","Student156",26,"C","ECE"
"R00157","Student157",25,"C","ECE"
"R00158","Student158",23,"B","Mech"
"R00159","Student159",28,"F","Civil"
"R00160","Student160",21,"D","IT"
"R00161","Student161",25,"C","ECE"
"R00162","Student162",20,"A","IT"
"R00163","Student163",30,"C","Mech"
"R00164","Student164",21,"C","Civil"
"R00165","Student165",21,"A","CS"
"R00166","Student166",29,"B","Mech"
"R00167","Student167",23,"D","IT"
"R00168","Student168",18,"C","ECE"
"R00169","Student169",27,"F","Civil"
"R00170","Student170",28,"A","IT"
"R00171","Student171",21,"D","CS"
"R00172","Student172",28,"B","CS"
"R00173","Student173",26,"B","Mech"
"R00174","Student174",24,"D","IT"
"R00175","Student175",25,"A","CS"
"R00176","Student176",22,"F","ECE"
"R00177","Student177",30,"C","CS"
"R00178","Student178",19,"F","IT"
"R00179","Student179",28,"D","IT"
"R00180","Student180",30,"C","Mech"
"R00181","Student181",23,"A","CS"
"R00182","Student182",26,"B","Mech"
"R00183","Student183",25,"F","Civil"
"R00184","Student184",29,"B","CS"
"R00185","Student185",27,"D","CS"
"R00186","Student186",21,"D","Mech"
"R00187","Student187",30,"C","CS"
"R00188","Student188",30,"C","IT"
"R00189","Student189",22,"C","Civil"
"R00190","Student190",24,"D","Mech"
"R00191","Student191",30,"A","IT"
"R00192","Student192",18,"F","ECE"
"R00193","Student193",25,"F","IT"
"R00194","Student194",25,"D","CS"
"R00195","Student195",27,"B","IT"
"R00196","Student196",26,"B","Mech"
"R00197","Student197",25,"D","IT"
"R00198","Student198",19,"F","CS"
"R00199","Student199",30,"A","IT"
"R00200","Student200",22,"C","Mech"
"R00201","Student201",26,"D","Civil"
"R00202","Student202",24,"F","Mech"
"R00203","Student203",24,"F","CS"
"R00204","Student204",27,"A","Mech"
"R00205","Student205",30,"F","Civil"
"R00206","Student206",29,"F","Civil"
"R00207","Student207",27,"A","Civil"
"R00208","Student208",25,"F","CS"
"R00209","Student209",23,"A","Civil"
"R00210","Student210",24,"D","Mech"
"R00211","Student211",27,"F","Mech"
"R00212","Student212",28,"C","ECE"
"R00213","Student213",18,"F","Civil"
"R00214","Student214",26,"A","CS"
"R00215","Student215",30,"F","Civil"
"R00216","Student216",30,"A","Mech"
"R00217","Student217",20,"C","ECE"
"R00218","Student218",27,"B","ECE"
"R00219","Student219",22,"D","IT"
"R00220","Student220",23,"B","CS"
"R00221","Student221",30,"B","IT"
"R00222","Student222",28,"F","Mech"
"R00223","Student223",28,"F","ECE"
"R00224","Student224",26,"A","Mech"
"R00225","Student225",21,"C","Mech"
"R00226","Student226",27,"C","Mech"
"R00227","Student227",24,"F","Mech"
"R00228","Student228",26,"D","Mech"
"R00229","Student229",24,"D","ECE"
"R00230","Student230",27,"C","Civil"
"R00231","Student231",21,"A","Mech"
"R00232","Student232",30,"D","CS"
"R00233","Student233",25,"F","Civil"
"R00234","Student234",26,"F","Civil"
"R00235","Student235",26,"B","IT"
"R00236","Student236",26,"F","ECE"
"R00237","Student237",22,"D","Civil"
"R00238","Student238",24,"D","ECE"
"R00239","Student239",23,"D","Mech"
"R00240","Student240",28,"C","IT"
"R00241","Student241",18,"A","Civil"
"R00242","Student242",27,"D","CS"
"R00243","Student243",27,"F","ECE"
"R00244","Student244",18,"D","IT"
"R00245","Student245",27,"B","ECE"
"R00246","Student246",18,"C","CS"
"R00247","Student247",30,"F","CS"
"R00248","Student248",27,"D","ECE"
"R00249","Student249",28,"A","Mech"
"R00250","Student250",22,"C","ECE"
"R00251","Student251",24,"C","ECE"
"R00252","Student252",29,"C","CS"
"R00253","Student253",22,"D","ECE"
"R00254","Student254",27,"F","IT"
"R00255","Student255",26,"B","CS"
"R00256","Student256",21,"A","Mech"
"R00257","Student257",23,"D","Mech"
"R00258","Student258",19,"A","ECE"
"R00259","Student259",30,"A","ECE"
"R00260","Student260",18,"A","IT"
"R00261","Student261",22,"D","IT"
"R00262","Student262",26,"A","IT"
"R00263","Student263",21,"A","IT"
"R00264","Student264",20,"C","Mech"
"R00265","Student265",26,"C","IT"
"R00266","Student266",18,"C","CS"
"R00267","Student267",19,"F","ECE"
"R00268","Student268",21,"C","Mech"
"R00269","Student269",27,"B","Civil"
"R00270","Student270",18,"A","Civil"
"R00271","Student271",22,"D","IT"
"R00272","Student272",22,"D","Mech"
"R00273","Student273",26,"C","Civil"
"R00274","Student274",25,"F","CS"
"R00275","Student275",24,"C","Civil"
"R00276","Student276",26,"A","CS"
"R00277","Student277",22,"D","Civil"
"R00278","Student278",30,"B","Civil"
"R00279","Student279",19,"F","CS"
"R00280","Student280",27,"B","Mech"
"R00281","Student281",23,"F","Mech"
"R00282","Student282",24,"F","ECE"
"R00283","Student283",30,"F","ECE"
"R00284","Student284",26,"C","ECE"
"R00285","Student285",18,"B","IT"
"R00286","Student286",22,"B","IT"
"R00287","Student287",30,"D","Mech"
"R00288","Student288",29,"F","Mech"
"R00289","Student289",22,"D","IT"
"R00290","Student290",25,"A","Mech"
"R00291","Student291",22,"B","CS"
"R00292","Student292",24,"D","CS"
"R00293","Student293",21,"F","CS"
"R00294","Student294",19,"B","ECE"
"R00295","Student295",30,"C","IT"
"R00296","Student296",18,"A","ECE"
"R00297","Student297",18,"D","IT"
"R00298","Student298",19,"B","Mech"
"R00299","Student299",18,"F","CS"
"R00300","Student300",19,"D","Mech"
"R00301","Student301",30,"C","CS"
"R00302","Student302",25,"A","Civil"
"R00303","Student303",18,"F","IT"
"R00304","Student304",20,"D","IT"
"R00305","Student305",19,"F","ECE"
"R00306","Student306",19,"D","Mech"
"R00307","Student307",22,"A","CS"
"R00308","Student308",29,"A","Civil"
"R00309","Student309",26,"D","Mech"
"R00310","Student310",30,"B","CS"
"R00311","Student311",27,"D","ECE"
"R00312","Student312",30,"D","Civil"
"R00313","Student313",23,"C","ECE"
"R00314","Student314",27,"F","ECE"
"R00315","Student315",27,"F","IT"
"R00316","Student316",23,"A","CS"
"R00317","Student317",29,"D","CS"
"R00318","Student318",20,"D","IT"
"R00319","Student319",21,"C","IT"
"R00320","Student320",28,"A","ECE"
"R00321","Student321",28,"D","ECE"
"R00322","Student322",20,"A","CS"
"R00323","Student323",30,"D","Mech"
"R00324","Student324",24,"D","Civil"
"R00325","Student325",20,"A","ECE"
"R00326","Student326",19,"A","Mech"
"R00327","Student327",24,"F","IT"
"R00328","Student328",20,"B","IT"
"R00329","Student329",26,"A","IT"
"R00330","Student330",30,"B","Civil"
"R00331","Student331",24,"C","Civil"
"R00332","Student332",26,"F","IT"
"R00333","Student333",21,"D","IT"
"R00334","Student334",19,"F","IT"
"R00335","Student335",23,"A","IT"
"R00336","Student336",27,"B","Civil"
"R00337","Student337",29,"C","Mech"
"R00338","Student338",26,"A","IT"
"R00339","Student339",29,"C","CS"
"R00340","Student340",30,"A","Civil"
"R00341","Student341",30,"F","Civil"
"R00342","Student342",28,"B","IT"
"R00343","Student343",24,"C","Mech"
"R00344","Student344",30,"D","IT"
"R00345","Student345",22,"D","Civil"
"R00346","Student346",28,"B","ECE"
"R00347","Student347",18,"B","CS"
"R00348","Student348",20,"B","CS"
"R00349","Student349",29,"C","ECE"
"R00350","Student350",19,"D","Mech"
"R00351","Student351",22,"B","Mech"
"R00352","Student352",18,"A","CS"
"R00353","Student353",29,"D","IT"
"R00354","Student354",20,"A","ECE"
"R00355","Student355",26,"D","ECE"
"R00356","Student356",19,"C","IT"
"R00357","Student357",23,"D","CS"
"R00358","Student358",20,"A","ECE"
"R00359","Student359",20,"C","CS"
"R00360","Student360",26,"F","Mech"
"R00361","Student361",19,"C","CS"
"R00362","Student362",18,"A","CS"
"R00363","Student363",23,"A","IT"
"R00364","Student364",27,"B","Civil"
"R00365","Student365",25,"B","Civil"
"R00366","Student366",27,"F","Mech"
"R00367","Student367",27,"D","ECE"
"R00368","Student368",30,"D","IT"
"R00369","Student369",21,"A","ECE"
"R00370","Student370",23,"A","Mech"
"R00371","Student371",21,"D","Mech"
"R00372","Student372",30,"B","IT"
"R00373","Student373",21,"F","IT"
"R00374","Student374",26,"F","CS"
"R00375","Student375",25,"D","CS"
"R00376","Student376",24,"C","CS"
"R00377","Student377",27,"B","IT"
"R00378","Student378",18,"C","Mech"
"R00379","Student379",19,"C","Civil"
"R00380","Student380",25,"B","ECE"
"R00381","Student381",20,"C","ECE"
"R00382","Student382",27,"D","CS"
"R00383","Student383",24,"F","ECE"
"R00384","Student384",28,"A","IT"
"R00385","Student385",18,"B","ECE"
"R00386","Student386",29,"C","Mech"
"R00387","Student387",19,"D","ECE"
"R00388","Student388",20,"D","ECE"
"R00389","Student389",30,"D","IT"
"R00390","Student390",30,"F","IT"
"R00391","Student391",20,"D","Mech"
"R00392","Student392",23,"A","IT"
"R00393","Student393",27,"B","Mech"
"R00394","Student394",22,"C","IT"
"R00395","Student395",21,"B","IT"
"R00396","Student396",19,"F","IT"
"R00397","Student397",18,"F","IT"
"R00398","Student398",29,"D","IT"
"R00399","Student399",18,"C","Civil"
"R00400","Student400",29,"D","Civil"
"R00401","Student401",22,"C","ECE"
"R00402","Student402",29,"D","IT"
"R00403","Student403",19,"F","ECE"
"R00404","Student404",19,"A","IT"
"R00405","Student405",29,"F","IT"
"R00406","Student406",20,"C","Civil"
"R00407","Student407",22,"F","Civil"
"R00408","Student408",23,"B","Civil"
"R00409","Student409",27,"D","Mech"
"R00410","Student410",20,"F","ECE"
"R00411","Student411",28,"F","Civil"
"R00412","Student412",20,"F","ECE"
"R00413","Student413",18,"A","IT"
"R00414","Student414",25,"A","Civil"
"R00415","Student415",18,"D","IT"
"R00416","Student416",28,"D","Civil"
"R00417","Student417",21,"C","Mech"
"R00418","Student418",25,"F","CS"
"R00419","Student419",29,"D","Civil"
"R00420","Student420",30,"C","IT"
"R00421","Student421",27,"A","CS"
"R00422","Student422",27,"C","ECE"
"R00423","Student423",25,"C","CS"
"R00424","Student424",29,"C","Civil"
"R00425","Student425",24,"A","IT"
"R00426","Student426",19,"C","CS"
"R00427","Student427",18,"A","Civil"
"R00428","Student428",21,"B","Civil"
"R00429","Student429",28,"D","Mech"
"R00430","Student430",26,"F","ECE"
"R00431","Student431",22,"C","IT"
"R00432","Student432",28,"B","Mech"
"R00433","Student433",29,"B","IT"
"R00434","Student434",25,"B","Civil"
"R00435","Student435",19,"B","Mech"
"R00436","Student436",22,"B","Civil"
"R00437","Student437",30,"F","CS"
"R00438","Student438",19,"C","CS"
"R00439","Student439",23,"D","Civil"
"R00440","Student440",27,"A","Civil"
"R00441","Student441",27,"C","Mech"
"R00442","Student442",26,"B","CS"
"R00443","Student443",28,"C","Mech"
"R00444","Student444",24,"A","Civil"
"R00445","Student445",23,"D","IT"
"R00446","Student446",29,"B","ECE"
"R00447","Student447",20,"A","Civil"
"R00448","Student448",28,"A","Mech"
"R00449","Student449",25,"D","ECE"
"R00450","Student450",28,"F","ECE"
"R00451","Student451",24,"D","Civil"
"R00452","Student452",21,"C","CS"
"R00453","Student453",25,"A","Mech"
"R00454","Student454",29,"A","ECE"
"R00455","Student455",20,"B","Mech"
"R00456","Student456",25,"F","IT"
"R00457","Student457",23,"A","IT"
"R00458","Student458",21,"C","Civil"
"R00459","Student459",24,"D","IT"
"R00460","Student460",27,"B","Civil"
"R00461","Student461",28,"B","CS"
"R00462","Student462",25,"D","Civil"
"R00463","Student463",21,"B","ECE"
"R00464","Student464",27,"C","IT"
"R00465","Student465",26,"D","ECE"
"R00466","Student466",23,"D","ECE"
"R00467","Student467",20,"B","Civil"
"R00468","Student468",21,"F","CS"
"R00469","Student469",26,"A","ECE"
"R00470","Student470",26,"C","IT"
"R00471","Student471",21,"D","CS"
"R00472","Student472",21,"F","ECE"
"R00473","Student473",23,"D","ECE"
"R00474","Student474",22,"D","IT"
"R00475","Student475",18,"A","CS"
"R00476","Student476",25,"D","Civil"
"R00477","Student477",24,"D","CS"
"R00478","Student478",29,"B","IT"
"R00479","Student479",22,"A","CS"
"R00480","Student480",23,"D","ECE"
"R00481","Student481",20,"A","CS"
"R00482","Student482",25,"C","Mech"
"R00483","Student483",27,"B","Civil"
"R00484","Student484",22,"F","CS"
"R00485","Student485",24,"B","CS"
"R00486","Student486",21,"D","CS"
"R00487","Student487",29,"F","IT"
"R00488","Student488",26,"C","Mech"
"R00489","Student489",28,"F","ECE"
"R00490","Student490",28,"A","Mech"
"R00491","Student491",20,"A","Mech"
"R00492","Student492",30,"F","Civil"
"R00493","Student493",27,"F","ECE"
"R00494","Student494",24,"F","Civil"
"R00495","Student495",30,"F","CS"
"R00496","Student496",19,"F","Mech"
"R00497","Student497",26,"B","Mech"
"R00498","Student498",23,"A","Civil"
"R00499","Student499",21,"A","IT"
"R00500","Student500",23,"C","CS"
"R00501","Student501",19,"A","CS"
"R00502","Student502",19,"F","IT"
"R00503","Student503",25,"C","IT"
"R00504","Student504",25,"B","CS"
"R00505","Student505",28,"B","CS"
"R00506","Student506",22,"B","ECE"
"R00507","Student507",26,"A","CS"
"R00508","Student508",24,"D","ECE"
"R00509","Student509",20,"A","Civil"
"R00510","Student510",24,"A","IT"
"R00511","Student511",25,"F","ECE"
"R00512","Student512",28,"A","Mech"
"R00513","Student513",27,"A","Mech"
"R00514","Student514",22,"A","CS"
"R00515","Student515",18,"A","Mech"
"R00516","Student516",24,"B","CS"
"R00517","Student517",23,"F","Mech"
"R00518","Student518",25,"F","IT"
"R00519","Student519",21,"C","CS"
"R00520","Student520",23,"C","Mech"
"R00521","Student521",29,"D","Mech"
"R00522","Student522",18,"C","CS"
"R00523","Student523",20,"F","Civil"
"R00524","Student524",29,"A","IT"
"R00525","Student525",21,"A","Mech"
"R00526","Student526",18,"F","Civil"
"R00527","Student527",22,"B","IT"
"R00528","Student528",28,"F","Mech"
"R00529","Student529",21,"C","Mech"
"R00530","Student530",19,"F","Civil"
"R00531","Student531",24,"D","Mech"
"R00532","Student532",20,"C","Civil"
"R00533","Student533",27,"B","Mech"
"R00534","Student534",20,"F","Mech"
"R00535","Student535",28,"A","CS"
"R00536","Student536",18,"F","Mech"
"R00537","Student537",24,"C","ECE"
"R00538","Student538",30,"C","ECE"
"R00539","Student539",23,"D","IT"
"R00540","Student540",29,"A","ECE"
"R00541","Student541",21,"C","ECE"
"R00542","Student542",22,"F","IT"
"R00543","Student543",24,"A","Mech"
"R00544","Student544",20,"C","Mech"
"R00545","Student545",19,"F","ECE"
"R00546","Student546",25,"B","Civil"
"R00547","Student547",21,"B","ECE"
"R00548","Student548",23,"F","Mech"
"R00549","Student549",30,"C","IT"
"R00550","Student550",27,"F","CS"
"R00551","Student551",24,"B","IT"
"R00552","Student552",28,"D","Civil"
"R00553","Student553",28,"C","Mech"
"R00554","Student554",23,"A","Civil"
"R00555","Student555",18,"F","Civil"
"R00556","Student556",23,"C","IT"
"R00557","Student557",25,"C","CS"
"R00558","Student558",20,"A","ECE"
"R00559","Student559",19,"C","Civil"
"R00560","Student560",28,"F","Mech"
"R00561","Student561",20,"D","IT"
"R00562","Student562",18,"B","CS"
"R00563","Student563",19,"A","Civil"
"R00564","Student564",19,"D","Mech"
"R00565","Student565",25,"B","ECE"
"R00566","Student566",27,"B","Mech"
"R00567","Student567",21,"B","Civil"
"R00568","Student568",26,"F","Mech"
"R00569","Student569",30,"F","Mech"
"R00570","Student570",24,"F","IT"
"R00571","Student571",25,"B","Mech"
"R00572","Student572",30,"A","Civil"
"R00573","Student573",20,"B","Civil"
"R00574","Student574",23,"B","Mech"
"R00575","Student575",28,"C","IT"
"R00576","Student576",23,"C","Civil"
"R00577","Student577",30,"D","Mech"
"R00578","Student578",25,"B","ECE"
"R00579","Student579",18,"B","Mech"
"R00580","Student580",29,"D","IT"
"R00581","Student581",19,"C","Mech"
"R00582","Student582",22,"A","Civil"
"R00583","Student583",25,"D","CS"
"R00584","Student584",25,"B","Civil"
"R00585","Student585",29,"C","Mech"
"R00586","Student586",24,"B","Civil"
"R00587","Student587",22,"C","IT"
"R00588","Student588",18,"F","Civil"
"R00589","Student589",27,"B","Mech"
"R00590","Student590",28,"D","ECE"
"R00591","Student591",26,"D","Mech"
"R00592","Student592",26,"C","Civil"
"R00593","Student593",28,"C","ECE"
"R00594","Student594",24,"A","Civil"
"R00595","Student595",27,"F","Civil"
"R00596","Student596",21,"A","Mech"
"R00597","Student597",30,"B","IT"
"R00598","Student598",25,"B","Mech"
"R00599","Student599",28,"C","Mech"
"R00600","Student600",21,"B","Mech"
"R00601","Student601",30,"B","ECE"
"R00602","Student602",20,"C","IT"
"R00603","Student603",24,"D","ECE"
"R00604","Student604",18,"B","IT"
"R00605","Student605",23,"F","CS"
"R00606","Student606",30,"C","Civil"
"R00607","Student607",27,"A","ECE"
"R00608","Student608",29,"D","IT"
"R00609","Student609",27,"F","ECE"
"R00610","Student610",18,"D","Mech"
"R00611","Student611",24,"A","Civil"
"R00612","Student612",22,"C","CS"
"R00613","Student613",23,"C","IT"
"R00614","Student614",27,"B","ECE"
"R00615","Student615",30,"B","IT"
"R00616","Student616",23,"B","CS"
"R00617","Student617",26,"D","Civil"
"R00618","Student618",25,"D","Civil"
"R00619","Student619",18,"C","CS"
"R00620","Student620",23,"B","Mech"
"R00621","Student621",19,"D","CS"
"R00622","Student622",25,"B","ECE"
"R00623","Student623",29,"A","Mech"
"R00624","Student624",27,"C","Civil"
"R00625","Student625",25,"F","ECE"
"R00626","Student626",26,"D","CS"
"R00627","Student627",25,"F","Mech"
"R00628","Student628",26,"D","IT"
"R00629","Student629",26,"D","Civil"
"R00630","Student630",21,"D","IT"
"R00631","Student631",18,"B","ECE"
"R00632","Student632",20,"C","ECE"
"R00633","Student633",25,"F","Mech"
"R00634","Student634",19,"D","Civil"
"R00635","Student635",18,"D","Civil"
"R00636","Student636",26,"A","CS"
"R00637","Student637",24,"D","ECE"
"R00638","Student638",24,"D","Civil"
"R00639","Student639",30,"B","Mech"
"R00640","Student640",30,"B","CS"
"R00641","Student641",21,"D","CS"
"R00642","Student642",29,"B","CS"
"R00643","Student643",24,"B","IT"
"R00644","Student644",21,"C","IT"
"R00645","Student645",30,"A","IT"
"R00646","Student646",29,"C","CS"
"R00647","Student647",26,"D","Civil"
"R00648","Student648",28,"D","CS"
"R00649","Student649",30,"B","IT"
"R00650","Student650",21,"C","Civil"
"R00651","Student651",27,"D","Civil"
"R00652","Student652",26,"F","ECE"
"R00653","Student653",29,"F","Civil"
"R00654","Student654",25,"C","IT"
"R00655","Student655",24,"D","Mech"
"R00656","Student656",26,"D","ECE"
"R00657","Student657",20,"F","CS"
"R00658","Student658",18,"C","Mech"
"R00659","Student659",28,"A","ECE"
"R00660","Student660",24,"B","ECE"
"R00661","Student661",20,"F","CS"
"R00662","Student662",24,"C","IT"
"R00663","Student663",27,"B","Civil"
"R00664","Student664",20,"F","CS"
"R00665","Student665",23,"D","IT"
"R00666","Student666",24,"F","Civil"
"R00667","Student667",21,"F","IT"
"R00668","Student668",27,"D","Mech"
"R00669","Student669",18,"C","IT"
"R00670","Student670",25,"B","ECE"
"R00671","Student671",22,"D","Mech"
"R00672","Student672",20,"F","Mech"
"R00673","Student673",29,"A","CS"
"R00674","Student674",22,"B","Civil"
"R00675","Student675",22,"C","IT"
"R00676","Student676",29,"A","IT"
"R00677","Student677",23,"A","IT"
"R00678","Student678",26,"A","Mech"
"R00679","Student679",18,"F","IT"
"R00680","Student680",21,"B","Civil"
"R00681","Student681",20,"C","CS"
"R00682","Student682",22,"A","Civil"
"R00683","Student683",19,"A","Civil"
"R00684","Student684",18,"D","CS"
"R00685","Student685",29,"B","IT"
"R00686","Student686",21,"F","ECE"
"R00687","Student687",21,"F","Civil"
"R00688","Student688",28,"A","IT"
"R00689","Student689",27,"C","Mech"
"R00690","Student690",27,"C","Civil"
"R00691","Student691",28,"F","CS"
"R00692","Student692",22,"B","Mech"
"R00693","Student693",23,"F","CS"
"R00694","Student694",21,"D","IT"
"R00695","Student695",20,"C","IT"
"R00696","Student696",20,"D","ECE"
"R00697","Student697",18,"C","IT"
"R00698","Student698",24,"D","IT"
"R00699","Student699",22,"A","IT"
"R00700","Student700",30,"D","Civil"
"R00701","Student701",24,"B","IT"
"R00702","Student702",26,"C","CS"
"R00703","Student703",26,"C","IT"
"R00704","Student704",25,"C","CS"
"R00705","Student705",18,"B","Civil"
"R00706","Student706",22,"D","ECE"
"R00707","Student707",22,"B","IT"
"R00708","Student708",25,"A","Mech"
"R00709","Student709",29,"D","Civil"
"R00710","Student710",19,"B","Mech"
"R00711","Student711",23,"B","Civil"
"R00712","Student712",19,"C","CS"
"R00713","Student713",21,"F","ECE"
"R00714","Student714",27,"D","IT"
"R00715","Student715",24,"F","CS"
"R00716","Student716",23,"F","ECE"
"R00717","Student717",25,"F","Mech"
"R00718","Student718",18,"D","ECE"
"R00719","Student719",25,"C","CS"
"R00720","Student720",28,"C","CS"
"R00721","Student721",22,"F","CS"
"R00722","Student722",28,"A","Civil"
"R00723","Student723",26,"B","IT"
"R00724","Student724",25,"D","ECE"
"R00725","Student725",27,"C","Civil"
"R00726","Student726",21,"A","Civil"
"R00727","Student727",29,"D","ECE"
"R00728","Student728",26,"D","Civil"
"R00729","Student729",30,"D","Mech"
"R00730","Student730",26,"B","IT"
"R00731","Student731",21,"B","ECE"
"R00732","Student732",20,"F","Civil"
"R00733","Student733",24,"A","ECE"
"R00734","Student734",21,"A","IT"
"R00735","Student735",25,"F","Mech"
"R00736","Student736",25,"B","ECE"
"R00737","Student737",22,"C","Mech"
"R00738","Student738",22,"B","ECE"
"R00739","Student739",25,"B","CS"
"R00740","Student740",23,"D","ECE"
"R00741","Student741",21,"C","Civil"
"R00742","Student742",20,"D","CS"
"R00743","Student743",28,"B","CS"
"R00744","Student744",27,"C","Civil"
"R00745","Student745",30,"B","Civil"
"R00746","Student746",24,"A","ECE"
"R00747","Student747",22,"B","ECE"
"R00748","Student748",25,"F","CS"
"R00749","Student749",26,"C","CS"
"R00750","Student750",28,"B","Mech"
"R00751","Student751",27,"F","CS"
"R00752","Student752",20,"F","ECE"
